Aqueous UO2++ in Granite,Aqueous UO2++ in Bentonite,Aqueous UO2++ in Source,Adsorbed UO2++ in Bentonite,Mineralized UO2++ in Bentonite,Mineralized UO2++ in Source,m1_a1,m1_a2,m1_a3,m1_a4,m1_a5,m2_a1,m2_a2,m2_a3,m2_a4,m2_a5,m2_s1,m2_s2,m2_s3,m2_s4,m2_s5,m2_s6,m2_w1,m2_w2,m2_w3,Calcium,Carbonate,Calcium_frac,Carbonate_frac,Calcium_conc,Carbonate_conc,Calcium_frac_conc,Carbonate_frac_conc,Effluxed UO2++
4.020325031755409e-14,5.54039182410194e-13,8.38506244487436e-05,8.681712274205721e-11,0.0,241.49999999999724,3.704596555302924e-17,2.856507249314138e-18,2.9820645030894913e-20,1.6124470309418928e-19,8.836012352208877e-20,4.3424921671317776e-16,1.018789857815312e-16,3.2321411524624206e-18,7.174242027259576e-18,4.23803994451658e-18,2.5263542607081435e-12,6.058911134552639e-13,7.282741846873706e-14,4.387278951829854e-15,1.0577011128551243e-11,4.428245323860128e-12,1.2807210249979737e-13,9.7130331751477e-13,6.75030273883814e-11,0.07756932221722618,0.011856223559915655,0.00929696797606083,0.0008147484962825705,0.014001163872681199,0.0021400332532060997,0.023126786010102506,0.0020267375529418,0.0
2.1277905066124858e-08,1.9194522973242548e-05,1.9010033200419972e-05,0.002960389293812105,0.0,241.49708531774024,1.8114493255310942e-11,2.8056690604802034e-12,6.092349714715954e-14,2.0274861291706523e-13,8.676624573768152e-14,1.507150470672742e-08,3.5101702318723784e-09,1.1055166478190298e-10,2.4652548368686187e-10,1.4473783690754273e-10,8.604119326674119e-05,2.0636597527145564e-05,2.4806747258936125e-06,1.4945195759266618e-07,0.00036064912697232946,0.00015116933367930862,4.362065659998874e-06,3.308444602657098e-05,0.0023018162883669214,0.07782793855902947,0.01186793220301343,0.009050112910044256,0.000822639573463508,0.014047399185883979,0.0021420788505183306,0.022513220573862083,0.0020464127192951465,2.05315911158e-11
1.862452324028097e-07,3.9228701665903376e-05,1.94324481726904e-05,0.0058900727525691785,0.0,241.49413501292017,1.5760854516251348e-10,2.528342292154241e-11,5.613597873434204e-13,1.9446613572134127e-12,7.818981803973911e-13,3.0891234102971635e-08,7.108090560776658e-09,2.211519451065502e-10,4.995973798316403e-10,2.887421947126438e-10,0.0001710482686318905,4.103632823079617e-05,4.93422336598003e-06,2.9735114688151664e-07,0.0007175375101866845,0.0003010034977640229,8.671936408559158e-06,6.579090995075607e-05,0.004579752500174363,0.07839453972431315,0.011884705481341608,0.008705993701062753,0.0008312517052687934,0.014149632565702975,0.00214510112954239,0.021658088801558655,0.0020679228434269253,1.090310901e-09
6.037338176487635e-07,6.038220447463901e-05,1.981513435499161e-05,0.008842384308804603,0.0,241.49116073736988,5.090897562958388e-10,8.342113648877499e-11,1.8771108097082742e-12,6.552813822765914e-12,2.579826029202219e-12,4.7673912437216026e-08,1.0847106651760387e-08,3.336621403795251e-10,7.635194341973794e-10,4.3451340597998533e-10,0.0002566375907144911,6.159252995861759e-05,7.408616700175431e-06,4.4662962628894156e-07,0.0010771661664667966,0.00045211317111383726,1.3011476950280189e-05,9.874937719583401e-05,0.006875258414643911,0.07903544126942091,0.01190023780193586,0.008473489133624688,0.0008368751130425952,0.014265344478218343,0.002147909708489374,0.0210805991067342,0.0020820028777103305,1.2227814390000001e-08
1.310234623458223e-06,8.257941626027218e-05,2.0168576701091132e-05,0.011817775650075274,0.0,241.48816203424505,1.1014731634165305e-09,1.8380628024106973e-10,4.188069846960919e-12,1.4618752964665685e-11,5.684269443891782e-12,6.535533923458976e-08,1.4716574742221036e-08,4.4795355954657425e-10,1.0373977349885523e-09,5.819767272370699e-10,0.00034283963368331974,8.231203030873054e-05,9.904622260127034e-06,5.973307187814456e-07,0.0014395900744606717,0.0006044910449822587,1.738223674319446e-05,0.00013197082976260197,0.0091886874048745,0.07968833431319866,0.01191447597503775,0.00836897268176913,0.0008381912045305189,0.014383231136739463,0.0021504861821878196,0.020821452881093716,0.0020853645165430394,6.74355513e-08
2.2894684528270618e-06,0.00010579830790001288,2.0505299976010938e-05,0.014815387891630382,0.0,241.48513972478605,1.9207231038389185e-09,3.244093172704679e-10,7.459548677549522e-12,2.6031272157675362e-11,1.0032464325249101e-11,8.391898060281538e-08,1.871156563345339e-08,5.639006150788731e-10,1.3207717552608624e-09,7.310322420193691e-10,0.0004296546678214687,0.00010319354975631806,1.2421926546792407e-05,7.494260346623672e-07,0.0018047045126937556,0.0007580486840746939,2.1784240645093405e-05,0.0001654533026323141,0.011519377033986686,0.0803434000880287,0.011927536744735217,0.008339306995895263,0.0008385986477424146,0.014501510770442911,0.002152850170382617,0.02074847423719193,0.002086461434576261,2.302284357e-07
3.5014531586325625e-06,0.00013002924574988765,2.0831396161056346e-05,0.017834163209645978,0.0,241.48209483397943,2.934826015497132e-09,4.982815673060978e-10,1.1499959792180211e-11,4.0191260457354697e-11,1.5409520464868773e-11,1.0335911824353123e-07,2.2828624207899126e-08,6.813893413210542e-10,1.6133310368446885e-09,8.815830228596809e-10,0.000517077505323237,0.00012423464924951556,1.4960093229477478e-05,9.028806939373572e-07,0.0021723806470107295,0.0009126868751712637,2.6217234538587245e-05,0.00019919295452806211,0.013866509718887423,0.08099886921584665,0.011939492734584436,0.008346240382582505,0.0008387283016045749,0.014619862108744637,0.002155014497336132,0.020766509023349713,0.0020868628322469733,5.770142463e-07
4.904074969777924e-06,0.00015526691725741029,2.1150114017522636e-05,0.020872968395319165,0.0,241.47902846657928,4.1101917226933535e-09,6.980265116025026e-10,1.609817383056363e-11,5.6426871651195995e-11,2.1586698106662588e-11,1.2367374523195325e-07,2.7064863452916025e-08,8.003143872232378e-10,1.914828168515805e-09,1.0335357913142194e-09,0.0006050988966446304,0.00014543208266738097,1.7518608290900788e-05,1.0576562539791244e-06,0.002542480544226201,0.0010683058666578634,3.068075619621839e-05,0.00023318463356737271,0.016229208597735925,0.08165434850494437,0.01195040124498161,0.008370153054023697,0.0008387561376557265,0.014738213677326254,0.0021569894353839557,0.020826748966533023,0.0020870064633641498,1.180449134e-06
6.4624671063326005e-06,0.00018150803735755117,2.1463368198687266e-05,0.023930653802044607,0.0,241.47594174676334,5.418647586731127e-09,9.178213309006084e-10,2.109497026770206e-11,7.421873216743419e-11,2.838392466539633e-11,1.448625764916919e-07,3.141767986180953e-08,9.205761713237986e-10,2.225047847600402e-09,1.186800591872386e-09,0.0006937076674774703,0.00016678224431668548,2.0096926313050457e-05,1.2137130649300378e-06,0.002914864323206457,0.001224807664285463,3.5174244363756266e-05,0.0002674226003257576,0.01860658356500329,0.08230970666469624,0.011960310926962633,0.008401672186685891,0.0008387311022225365,0.014856541618643197,0.002158783748096463,0.02090587653903357,0.002087014166096438,2.102249549e-06
8.150619822110004e-06,0.00020874978228566294,2.1772340329524905e-05,0.027006074478688427,0.0,241.47283579685325,6.838898532509143e-09,1.1535481915576888e-09,2.638452638327183e-11,9.321252752828566e-11,3.567385479251016e-11,1.669256867485594e-07,3.588456245650412e-08,1.0420786759056864e-09,2.5437884216108626e-09,1.3412899337968532e-09,0.0007828917288095037,0.00018828136945690446,2.269448972446976e-05,1.3710111464342288e-06,0.0032893927146503076,0.0013820964405588509,3.9697090383051124e-05,0.0003019008524553471,0.020997747828617425,0.08296485870114506,0.011969264409745503,0.008436617583026634,0.0008386678922261538,0.014974830544968185,0.0021604051292307422,0.02099349156030918,0.0020869225307514412,3.3927123420000002e-06
